,subject,predicate,object
5280,Monetary Authority,withdrew,Falcon Private Bank 's banking licence
5281,Falcon Private Bank,has,banking licence
5282,Monetary Authority,admonished DBS In,October 2016
5283,Monetary Authority,admonished,DBS
5284,their alleged role,is in,Malaysian Sovereign Fund scandal
5285,Monetary Authority,admonished,UBS
5286,Monetary Authority,admonished UBS In,October 2016
5287,world,has,highest percentage of millionaires
5288,Singapore,has,world 's highest percentage
5289,Singapore,has,world 's highest percentage of millionaires
5290,Singapore,has,world 's percentage
5291,Singapore,has,world 's percentage of millionaires
5292,property,is among,especially world 's expensive
5293,property,is among,world 's expensive
5294,property,is in,Singapore
5295,property,is among,especially world 's most expensive
5296,property,is among,world 's most expensive
5297,included,would increase,number
5298,included,would increase,number of millionaires
5299,Singapore,was rated,world 's city
5300,world,has,most expensive city
5301,Singapore,was rated,world 's expensive city
5302,Singapore,was rated,world 's most expensive city
5303,poverty,is,so rare
5304,government,provides,numerous assistance programmes
5305,government,provides assistance programmes through,Ministry of Social
5306,government,provides assistance programmes through,Ministry
5307,poverty,is,rare
5308,government,provides,assistance programmes
5309,acute poverty,is,so rare
5310,government,provides assistance programmes to,homeless
5311,acute poverty,is,rare
5312,children,for,tuition
5313,subsidised healthcare,provision of,reduced-cost laptops for poor students
5314,citizens,exercise,provision of reduced-cost laptops for students
5315,citizens,exercise,provision
5316,citizens,exercise,provision of reduced-cost laptops
5317,citizens,exercise,healthcare
5318,citizens,exercise,subsidised healthcare
5319,citizens,exercise,provision of laptops for poor students
5320,citizens,exercise,provision of reduced-cost laptops for poor students
5321,citizens,exercise,provision of laptops for students
5322,citizens,exercise,provision of laptops
5323,subsidised healthcare,aid for,disabled
5324,2018 Singapore,As of,ranking in Human Development Index
5325,2018 Singapore 's ranking,is in,Human Development Index
5326,rate,reaching,highs of 3.1 %
5327,rate,fell to,1.8 %
5328,rate,fell in,quarter of 2015
5329,rate,fell in,first quarter of 2015
5330,rate,reaching,highs
5331,rate,fell in,first quarter
5332,3.1 %,is in,2005
5333,reaching,highs of,3.1 %
5334,rate,reaching,highs of 3.1 % in 2005
5335,rate,fell in,quarter
5336,reaching,highs of,3.1 % in 2005
5337,government,has considered,recognising
5338,workers,are crucial to,country 's economy
5339,country,to,economy
5340,workers,are,crucial
5341,foreign workers,are crucial to,country 's economy
5342,workers,make up,80 % of construction industry
5343,foreign workers,make up,80 % of construction industry
5344,foreign workers,are,crucial
5345,workers,make up,80 %
5346,government,placing,limits on inflows
5347,government,placing,limits
5348,government,placing,limits on inflows of workers
5349,foreign workers,make up,80 %
5350,Singapore,is,world 's 3rd-largest foreign exchange centre
5351,Singapore,is,world 's exchange centre
5352,Singapore,hub for,ship repair services
5353,world,has,3rd-largest foreign exchange centre
5354,Singapore,is,world 's 3rd-largest exchange centre
5355,Singapore,is,world 's foreign exchange centre
5356,Singaporean economy contributors,being,services
5357,Singaporean economy top contributors,being,services
5358,economy,is,diversified
5359,economy top contributors,being,services
5360,economy contributors,being,financial services
5361,economy,is diversified,financial services
5362,Singaporean economy top contributors,being,financial services
5363,Singaporean economy,is,diversified
5364,economy contributors,being,services
5365,Singaporean economy contributors,being,financial services
5366,Singaporean economy,is diversified,financial services
5367,Singaporean economy,is diversified,services
5368,economy,is diversified,services
5369,economy top contributors,being,financial services
5370,integrated circuits,constituted,27 % of country 's GDP
5371,computers,constituted,27 %
5372,circuits,constituted,27 %
5373,Singaporean economy main exports,are refined,petroleum
5374,country,of,GDP
5375,Singaporean economy exports,are refined,petroleum
5376,economy exports,are refined,petroleum
5377,economy main exports,are refined,petroleum
5378,integrated circuits,constituted,27 %
5379,computers,constituted,27 % of country 's GDP
5380,circuits,constituted,27 % of country 's GDP
5381,significant sectors,include,mechanical engineering
5382,Other sectors,include,chemicals
5383,sectors,include,engineering
5384,significant sectors,include,engineering
5385,sectors,include,sciences
5386,Other significant sectors,include,mechanical engineering
5387,Other sectors,include,mechanical engineering
5388,Other significant sectors,include,engineering
5389,sectors,include,biomedical sciences
5390,Other significant sectors,include,biomedical sciences
5391,Other sectors,include,electronics
5392,significant sectors,include,chemicals
5393,Other significant sectors,include,sciences
5394,sectors,include,chemicals
5395,Other sectors,include,biomedical sciences
5396,sectors,include,electronics
5397,significant sectors,include,electronics
5398,Other sectors,include,engineering
5399,significant sectors,include,biomedical sciences
5400,significant sectors,include,sciences
5401,sectors,include,mechanical engineering
5402,Other significant sectors,include,chemicals
5403,Other significant sectors,include,electronics
5404,Other sectors,include,sciences
5405,60 semiconductor companies,is in,Singapore
5406,construction industry,contributes,around 7 %
5407,construction industry,contributes,around 7 % of Singapore 's GDP
5408,Singapore,of,GDP
5409,Singapore,has,largest companies
5410,many,been publicly listed on,Singapore Exchange
5411,companies,include,Keppel Corporation
5412,companies,include,Development Bank
5413,Such companies,include,OCBC
5414,Such companies,include,Development Bank of Singapore
5415,companies,include,UOB
5416,companies,include,Oversea-Chinese Banking Corporation
5417,Such companies,include,Singtel
5418,Such companies,include,DBS
5419,Such companies,include,Development Bank
5420,companies,include,OCBC
5421,companies,include,Singapore Telecommunications
5422,Singapore,of Bank is,DBS
5423,Such companies,include,UOB
5424,Such companies,include,United Overseas Bank
5425,companies,include,Singtel
5426,Such companies,include,Keppel Corporation
5427,companies,include,Singapore Technologies Engineering
5428,companies,include,United Overseas Bank
5429,companies,include,DBS
5430,Such companies,include,Singapore Technologies Engineering
5431,Such companies,include,Oversea-Chinese Banking Corporation
5432,companies,include,Development Bank of Singapore
5433,Such companies,include,Singapore Telecommunications
5434,OCBC,were,amidst global financial crisis ranked by Bloomberg Businessweek
5435,OCBC,were,ranked
5436,OCBC,were,amidst financial crisis ranked by Bloomberg Businessweek
5437,OCBC,were,In 2011 amidst financial crisis ranked by Bloomberg Businessweek
5438,OCBC,were,In 2011 amidst global crisis ranked
5439,OCBC,were,In 2011 amidst crisis ranked by Bloomberg Businessweek
5440,OCBC,were,ranked as
5441,OCBC,were,In 2011 amidst global financial crisis ranked by Bloomberg Businessweek as
5442,OCBC,were,amidst global crisis ranked by Bloomberg Businessweek
5443,OCBC,were,In 2011 amidst crisis ranked by Bloomberg Businessweek as
5444,OCBC,were,ranked by Bloomberg Businessweek
5445,OCBC,were,amidst global crisis ranked
5446,OCBC,were,In 2011 amidst financial crisis ranked as
5447,OCBC,were,In 2011 ranked as
5448,OCBC,were,In 2011 amidst global financial crisis ranked
5449,OCBC,were,amidst financial crisis ranked
5450,OCBC,were,amidst global crisis ranked as
5451,OCBC,were,amidst financial crisis ranked as
5452,OCBC,were,In 2011 amidst crisis ranked as
5453,OCBC,were,amidst global financial crisis ranked as
5454,OCBC,were,amidst financial crisis ranked by Bloomberg Businessweek as
5455,OCBC,were,amidst crisis ranked by Bloomberg Businessweek
5456,OCBC,were,In 2011 ranked
5457,OCBC,were,amidst crisis ranked as
5458,OCBC,were,In 2011 amidst financial crisis ranked
5459,OCBC,were,In 2011 amidst global financial crisis ranked as
5460,OCBC,were,In 2011 amidst crisis ranked
5461,OCBC,were,In 2011 amidst global crisis ranked by Bloomberg Businessweek
5462,OCBC,were,In 2011 ranked by Bloomberg Businessweek as
5463,OCBC,were,In 2011 amidst financial crisis ranked by Bloomberg Businessweek as
5464,OCBC,were,In 2011 ranked by Bloomberg Businessweek
5465,OCBC,were,amidst global financial crisis ranked by Bloomberg Businessweek as
5466,OCBC,were,amidst crisis ranked by Bloomberg Businessweek as
5467,OCBC,were,amidst crisis ranked
5468,OCBC,were,amidst global crisis ranked by Bloomberg Businessweek as
5469,OCBC,were,amidst global financial crisis ranked
5470,OCBC,were,In 2011 amidst global crisis ranked by Bloomberg Businessweek as
5471,OCBC,were,ranked by Bloomberg Businessweek as
5472,OCBC,were,In 2011 amidst global financial crisis ranked by Bloomberg Businessweek
5473,OCBC,were,In 2011 amidst global crisis ranked as
5474,Bloomberg Businessweek,is home to,headquarters of 3 Fortune 500 companies
5475,Bloomberg Businessweek,is home to,headquarters
5476,3 Fortune Global 500 companies,highest in,region
5477,Bloomberg Businessweek,is home to,headquarters of 3 Fortune Global 500 companies
5478,Bloomberg Businessweek,is,home
5479,Singapore 's known companies,include,Singapore Airlines
5480,Singapore 's companies,include,Changi Airport
5481,Singapore 's global companies,include,Singapore Airlines
5482,all,are among,most-awarded in nation 's companies
5483,all,are among,most-awarded in nation 's best known global companies
5484,Singapore 's companies,include,Singapore Airlines
5485,Singapore 's known companies,include,Changi Airport
5486,Singapore 's global companies,include,Changi Airport
